country,province,latitude,longtitude
Italy,Sicily & Sardinia,0,0
Portugal,Douro,0,0
US,Oregon,43.8041334,-120.5542012
US,Michigan,44.3148443,-85.6023643
Spain,Northern Spain,0,0
France,Alsace,48.3181795,7.4416241
Germany,Rheinhessen,0,0
US,California,36.778261,-119.4179324
Germany,Mosel,0,0
Argentina,Other,0,0
Argentina,Mendoza Province,-32.8896247,-68.8526867
US,Virginia,37.4315734,-78.6568942
France,Beaujolais,46.1134349,4.7263863
Chile,Colchagua Valley,-34.6761419,-71.097317
Italy,Southern Italy,0,0
Chile,Maule Valley,0,0
France,Bordeaux,44.837789,-0.57918
Chile,Maipo Valley,-33.7289899,-70.7778036
US,Washington,47.7510741,-120.7401385
Italy,Central Italy,0,0
France,Champagne,48.9168895,4.1514325
France,Burgundy,47.0525047,4.3837215
Australia,South Australia,-30.0002315,136.2091547
Portugal,Tejo,39.7528442,-5.2532284
Chile,Rapel Valley,0,0
Spain,Galicia,42.5750554,-8.1338558
France,France Other,46.227638,2.213749
Italy,Tuscany,43.7710513,11.2486208
Austria,Burgenland,47.1537165,16.2688797
US,New York,40.7127753,-74.0059728
Chile,Leyda Valley,-27.3669373,-70.3398711
Italy,Piedmont,45.0522366,7.5153885
South Africa,Stellenbosch,-33.9321045,18.860152
South Africa,Simonsberg-Stellenbosch,0,0
South Africa,Walker Bay,-34.4968652,19.3336242
Portugal,Alentejano,38.2003808,-7.800085
Spain,Central Spain,0,0
France,Southwest France,0,0
Chile,Aconcagua Valley,-32.8035499,-70.9442243
Chile,Loncomilla Valley,-35.6778298,-71.7681764
New Zealand,Marlborough,-41.5916883,173.7624053
Italy,Northeastern Italy,45.9295022,11.5621417
Chile,Casablanca Valley,-33.3182828,-71.4070899
Italy,Veneto,45.4414662,12.3152595
South Africa,Western Cape,-33.2277918,21.8568586
Israel,Judean Hills,31.6666667,35.1666667
Portugal,Alentejo,38.2003808,-7.800085
South Africa,Coastal Region,-30.559482,22.937506
France,Rhône Valley,0,0
Israel,Galilee,0,0
Portugal,Beira Atlantico,0,0
Hungary,Tokaj,48.1172148,21.4089015
Austria,Leithaberg,47.9666667,16.6666667
Greece,Santorini,36.3931562,25.4615092
Austria,Kremstal,0,0
Spain,Catalonia,41.5911589,1.5208624
Romania,Recas,45.8011607,21.5119138
New Zealand,Hawke's Bay,-39.6016597,176.5804473
Chile,Curicó Valley,0,0
Chile,Limarí Valley,-30.7462002,-71.0022311
Chile,Colchagua Costa,0,0
France,Languedoc-Roussillon,43.5912356,3.2583626
France,Provence,44.0144936,6.2116438
Australia,Victoria,-37.4713077,144.7851531
Germany,Rheingau,50.1891679,8.1104164
Hungary,Tokaji,48.1172148,21.4089015
Greece,Naoussa,37.1235743,25.238722
Mexico,Valle de Guadalupe,32.0956281,-116.572572
Chile,Central Valley,0,0
Chile,Lontué Valley,0,0
Italy,Italy Other,0,0
Austria,Weinviertel,48.3845561,16.5149128
Austria,Thermenregion,0,0
Austria,Niederösterreich,48.108077,15.8049558
Austria,Wagram,48.299052,16.5640125
France,Loire Valley,47.5532402,1.0105289
Italy,Lombardy,45.4790671,9.8452433
Canada,Ontario,51.253775,-85.323214
Austria,Österreichischer Sekt,48.198982,16.3787714
Austria,Kamptal,48.585085,15.4126618
Austria,Steiermark,47.3593442,14.4699827
Austria,Südsteiermark,46.7754628,15.5480548
Greece,Crete,35.240117,24.8092691
Portugal,Vinho Verde,0,0
US,Idaho,44.0682019,-114.7420408
Australia,Western Australia,-27.6728168,121.6283098
Spain,Levante,37.8945909,-4.7549218
New Zealand,Martinborough,-41.2185335,175.459548
New Zealand,Central Otago,-44.9566315,169.3988451
Portugal,Lisboa,38.7222524,-9.1393366
